#OIL/MOEL	File H		File INC	File GLD	File LIB	
PIC30F6010	p30f6010.h	p30f6010.inc	p30f6010.gld	libp30F6010-elf.a
PIC30F6010A	p30f6010A.h	p30f6010A.inc	p30f6010A.gld	libp30F6010A-elf.a
PIC30F6011	p30f6011.h	p30f6011.inc	p30f6011.gld	libp30F6011-elf.a
PIC30F6011A	p30f6011A.h	p30f6011A.inc	p30f6011A.gld	libp30F6011A-elf.a
PIC30F6012	p30f6012.h	p30f6012.inc	p30f6012.gld	libp30F6012-elf.a
PIC30F6012A	p30f6012A.h	p30f6012A.inc	p30f6012A.gld	libp30F6012A-elf.a
PIC30F6013	p30f6013.h	p30f6013.inc	p30f6013.gld	libp30F6013-elf.a
PIC30F6013A	p30f6013A.h	p30f6013A.inc	p30f6013A.gld	libp30F6013A-elf.a
PIC30F6014	p30f6014.h	p30f6014.inc	p30f6014.gld	libp30F6014-elf.a
PIC30F6014A	p30F6014A.h	p30F6014A.inc	p30F6014A.gld	libp30F6014A-elf.a
PIC30F6015	p30f6015.h	p30f6015.inc	p30f6015.gld	libp30F6015-elf.a
#OIL/MOEL	File H		File INC	File GLD	File LIB
PIC33FJ128GP206	p33FJ128GP206.h	p33FJ128GP206.inc	p33FJ128GP206.gld	libp33FJ128GP206-elf.a
PIC33FJ128GP306	p33FJ128GP306.h p33FJ128GP306.inc	p33FJ128GP306.gld	libp33FJ128GP306-elf.a
PIC33FJ128GP310	p33FJ128GP310.h p33FJ128GP310.inc	p33FJ128GP310.gld	libp33FJ128GP310-elf.a
PIC33FJ128GP706	p33FJ128GP706.h p33FJ128GP706.inc	p33FJ128GP706.gld	libp33FJ128GP706-elf.a
PIC33FJ128GP708	p33FJ128GP708.h p33FJ128GP708.inc	p33FJ128GP708.gld	libp33FJ128GP708-elf.a
PIC33FJ128GP710	p33FJ128GP710.h p33FJ128GP710.inc	p33FJ128GP710.gld	libp33FJ128GP710-elf.a
PIC33FJ128MC506	p33FJ128MC506.h p33FJ128MC506.inc	p33FJ128MC506.gld	libp33FJ128MC506-elf.a
PIC33FJ128MC510	p33FJ128MC510.h p33FJ128MC510.inc	p33FJ128MC510.gld	libp33FJ128MC510-elf.a
PIC33FJ128MC706	p33FJ128MC706.h p33FJ128MC706.inc	p33FJ128MC706.gld	libp33FJ128MC706-elf.a
PIC33FJ128MC708	p33FJ128MC708.h p33FJ128MC708.inc	p33FJ128MC708.gld	libp33FJ128MC708-elf.a
PIC33FJ128MC710	p33FJ128MC710.h p33FJ128MC710.inc	p33FJ128MC710.gld	libp33FJ128MC710-elf.a
PIC33FJ256GP506	p33FJ256GP506.h p33FJ256GP506.inc	p33FJ256GP506.gld	libp33FJ256GP506-elf.a
PIC33FJ256GP510	p33FJ256GP510.h p33FJ256GP510.inc	p33FJ256GP510.gld	libp33FJ256GP510-elf.a
PIC33FJ256GP710	p33FJ256GP710.h p33FJ256GP710.inc	p33FJ256GP710.gld	libp33FJ256GP710-elf.a
PIC33FJ256MC510	p33FJ256MC510.h p33FJ256MC510.inc	p33FJ256MC510.gld	libp33FJ256MC510-elf.a
