#OIL/MODEL	LINKERSCRIPT	INCL_C	INCL_S	STARTUP	@ EEOPTs
EFM32G232F128	?	?	?	?	@__EFM32G232Fx__
EFM32TG110F32	?	?	?	?	@__EFM32TG110Fx__
